1384031182.64 ['  File "uppir_vendor.py", line 409, in <module>\n    main()\n', '  File "uppir_vendor.py", line 375, in main\n    rawmanifestdata = open(_commandlineoptions.manifestfilename).read()\n']
1384031223.38 ready to start servers!
1384031223.39 servers started!
1384037239.23 UPPIRVendor 127.0.0.1 52182 mirrorinfo update 34
1384037293.72 UPPIRVendor 127.0.0.1 52183 mirrorinfo update 34
1384037296.52 UPPIRVendor 127.0.0.1 52184 mirrorinfo update 34
1384037299.23 UPPIRVendor 127.0.0.1 52185 mirrorinfo update 34
1384037353.72 UPPIRVendor 127.0.0.1 52186 mirrorinfo update 34
1384037356.52 UPPIRVendor 127.0.0.1 52187 mirrorinfo update 34
1384037359.23 UPPIRVendor 127.0.0.1 52188 mirrorinfo update 34
1384037413.73 UPPIRVendor 127.0.0.1 52189 mirrorinfo update 34
1384037416.53 UPPIRVendor 127.0.0.1 52190 mirrorinfo update 34
1384037419.23 UPPIRVendor 127.0.0.1 52191 mirrorinfo update 34
1384037473.73 UPPIRVendor 127.0.0.1 52192 mirrorinfo update 34
1384037476.53 UPPIRVendor 127.0.0.1 52193 mirrorinfo update 34
1384037479.24 UPPIRVendor 127.0.0.1 52194 mirrorinfo update 34
1384037533.74 UPPIRVendor 127.0.0.1 52195 mirrorinfo update 34
1384037536.53 UPPIRVendor 127.0.0.1 52196 mirrorinfo update 34
1384037539.24 UPPIRVendor 127.0.0.1 52197 mirrorinfo update 34
1384037593.74 UPPIRVendor 127.0.0.1 52202 mirrorinfo update 34
1384037596.53 UPPIRVendor 127.0.0.1 52203 mirrorinfo update 34
1384037599.24 UPPIRVendor 127.0.0.1 52204 mirrorinfo update 34
1384037653.74 UPPIRVendor 127.0.0.1 52205 mirrorinfo update 34
1384037656.54 UPPIRVendor 127.0.0.1 52206 mirrorinfo update 34
1384037659.25 UPPIRVendor 127.0.0.1 52207 mirrorinfo update 34
1384037713.74 UPPIRVendor 127.0.0.1 52208 mirrorinfo update 34
1384037716.54 UPPIRVendor 127.0.0.1 52209 mirrorinfo update 34
1384037719.25 UPPIRVendor 127.0.0.1 52210 mirrorinfo update 34
1384037773.75 UPPIRVendor 127.0.0.1 52211 mirrorinfo update 34
1384037776.54 UPPIRVendor 127.0.0.1 52212 mirrorinfo update 34
1384037779.26 UPPIRVendor 127.0.0.1 52213 mirrorinfo update 34
1384037833.75 UPPIRVendor 127.0.0.1 52215 mirrorinfo update 34
1384037836.54 UPPIRVendor 127.0.0.1 52216 mirrorinfo update 34
1384037839.26 UPPIRVendor 127.0.0.1 52217 mirrorinfo update 34
1384037893.75 UPPIRVendor 127.0.0.1 52218 mirrorinfo update 34
1384037896.55 UPPIRVendor 127.0.0.1 52219 mirrorinfo update 34
1384037899.26 UPPIRVendor 127.0.0.1 52220 mirrorinfo update 34
1384037953.76 UPPIRVendor 127.0.0.1 52221 mirrorinfo update 34
1384037956.55 UPPIRVendor 127.0.0.1 52222 mirrorinfo update 34
1384037959.26 UPPIRVendor 127.0.0.1 52223 mirrorinfo update 34
1384038013.76 UPPIRVendor 127.0.0.1 52224 mirrorinfo update 34
1384038016.55 UPPIRVendor 127.0.0.1 52225 mirrorinfo update 34
1384038019.27 UPPIRVendor 127.0.0.1 52226 mirrorinfo update 34
